With or Without,Background Noise at a maximum 60 dBs (Control),"Background Noise Reduced by 30%, 42 dBs","Background Noise Reduced by 60%, 24 dBs",Background Noise Eliminated
Without,0.365,0.413,0.341,0.338
Without,0.36,0.323,0.361,0.32
Without,0.399,0.359,0.409,0.39
Without,0.468,0.396,0.427,0.375
Without,0.428,0.414,0.405,0.41
Without,0.403,0.466,0.432,0.415
Without,0.41,0.428,0.373,0.423
Without,0.438,0.409,0.374,0.392
Without,0.381,0.363,0.383,0.362
Without,0.44,0.395,0.408,0.408
With,0.613,0.6,0.548,0.547
With,0.841,0.812,0.786,0.687
With,0.783,0.791,0.658,0.55
With,0.833,0.75,0.644,0.564
With,0.743,0.711,0.715,0.7
With,0.667,0.64,0.607,0.538
With,0.75,0.683,0.664,0.593
With,0.736,0.675,0.66,0.549
With,0.729,0.772,0.66,0.628
With,0.646,0.638,0.622,0.548
,,,,